time,longitude,latitude,sat,elevation
1488899843,1°34'11.646"W,54°46'1.62"N,10,60.12
1488899844,1°34'11.616"W,54°46'1.614"N,10,60.289
1488899844,1°34'11.616"W,54°46'1.614"N,10,60.319
1488899844,1°34'11.616"W,54°46'1.614"N,10,60.319
1488899845,1°34'11.616"W,54°46'1.614"N,10,60.359
1488899845,1°34'11.61"W,54°46'1.614"N,10,60.38
1488899845,1°34'11.61"W,54°46'1.614"N,10,60.38
1488899845,1°34'11.61"W,54°46'1.614"N,10,60.399
1488899845,1°34'11.61"W,54°46'1.614"N,10,60.42
1488899845,1°34'11.61"W,54°46'1.614"N,10,60.44
1488899845,1°34'11.61"W,54°46'1.614"N,10,60.46
1488899845,1°34'11.61"W,54°46'1.614"N,10,60.49
1488899845,1°34'11.61"W,54°46'1.614"N,10,60.51
1488899845,1°34'11.61"W,54°46'1.614"N,10,60.53
1488899846,1°34'11.61"W,54°46'1.614"N,10,60.56
1488899846,1°34'11.61"W,54°46'1.62"N,10,60.569
1488899846,1°34'11.61"W,54°46'1.62"N,10,60.59
1488899846,1°34'11.616"W,54°46'1.62"N,10,60.609
1488899846,1°34'11.616"W,54°46'1.62"N,10,60.63
1488899846,1°34'11.61"W,54°46'1.62"N,10,60.649
1488899846,1°34'11.61"W,54°46'1.62"N,10,60.67
1488899846,1°34'11.604"W,54°46'1.62"N,10,60.59
1488899846,1°34'11.604"W,54°46'1.62"N,10,60.609
1488899846,1°34'11.604"W,54°46'1.62"N,10,60.609
1488899846,1°34'11.604"W,54°46'1.62"N,10,60.63
1488899847,1°34'11.61"W,54°46'1.62"N,10,60.649
1488899847,1°34'11.61"W,54°46'1.62"N,10,60.67
1488899847,1°34'11.604"W,54°46'1.62"N,10,60.69
1488899847,1°34'11.604"W,54°46'1.62"N,10,60.71
1488899847,1°34'11.604"W,54°46'1.614"N,10,60.73
1488899847,1°34'11.598"W,54°46'1.614"N,10,60.749
1488899847,1°34'11.592"W,54°46'1.614"N,10,60.77
1488899847,1°34'11.592"W,54°46'1.614"N,10,60.62
1488899847,1°34'11.586"W,54°46'1.614"N,10,60.639
1488899847,1°34'11.58"W,54°46'1.608"N,10,60.67
1488899848,1°34'11.574"W,54°46'1.608"N,10,60.69
1488899848,1°34'11.574"W,54°46'1.614"N,10,60.71
1488899848,1°34'11.568"W,54°46'1.62"N,10,60.74
1488899848,1°34'11.568"W,54°46'1.62"N,10,60.76
1488899848,1°34'11.562"W,54°46'1.626"N,10,60.78
1488899848,1°34'11.562"W,54°46'1.626"N,10,60.78
1488899848,1°34'11.562"W,54°46'1.626"N,10,60.8
1488899848,1°34'11.556"W,54°46'1.626"N,10,60.829
1488899848,1°34'11.562"W,54°46'1.632"N,10,60.7
1488899848,1°34'11.556"W,54°46'1.632"N,10,60.73
1488899848,1°34'11.544"W,54°46'1.632"N,10,60.749
1488899849,1°34'11.538"W,54°46'1.632"N,10,60.78
1488899849,1°34'11.532"W,54°46'1.632"N,10,60.81
1488899849,1°34'11.526"W,54°46'1.638"N,10,60.829
1488899849,1°34'11.52"W,54°46'1.638"N,10,60.85
1488899849,1°34'11.514"W,54°46'1.638"N,10,60.88
1488899849,1°34'11.508"W,54°46'1.632"N,10,60.91
1488899849,1°34'11.496"W,54°46'1.632"N,10,60.94
1488899849,1°34'11.526"W,54°46'1.65"N,10,60.899
1488899849,1°34'11.52"W,54°46'1.65"N,10,60.929
1488899849,1°34'11.514"W,54°46'1.65"N,10,60.969
1488899850,1°34'11.502"W,54°46'1.644"N,10,60.999
1488899850,1°34'11.496"W,54°46'1.644"N,10,61.03
1488899850,1°34'11.49"W,54°46'1.644"N,10,61.069
1488899850,1°34'11.49"W,54°46'1.644"N,10,61.069
1488899850,1°34'11.484"W,54°46'1.638"N,10,61.1
1488899850,1°34'11.478"W,54°46'1.638"N,10,61.139
1488899850,1°34'11.472"W,54°46'1.638"N,10,61.179
1488899850,1°34'11.46"W,54°46'1.638"N,10,61.219
1488899850,1°34'11.502"W,54°46'1.674"N,10,60.95
1488899850,1°34'11.496"W,54°46'1.668"N,10,60.99
1488899850,1°34'11.49"W,54°46'1.674"N,10,61.039
1488899851,1°34'11.478"W,54°46'1.674"N,10,61.09
1488899851,1°34'11.466"W,54°46'1.674"N,10,61.13
1488899851,1°34'11.46"W,54°46'1.674"N,10,61.179
1488899851,1°34'11.448"W,54°46'1.674"N,10,61.219
1488899851,1°34'11.436"W,54°46'1.674"N,10,61.27
1488899851,1°34'11.424"W,54°46'1.68"N,10,61.319
1488899851,1°34'11.418"W,54°46'1.68"N,10,61.37
1488899851,1°34'11.418"W,54°46'1.68"N,10,61.37
1488899851,1°34'11.424"W,54°46'1.698"N,11,60.98
1488899851,1°34'11.412"W,54°46'1.698"N,11,61.03
1488899852,1°34'11.406"W,54°46'1.698"N,10,61.079
1488899852,1°34'11.394"W,54°46'1.698"N,10,61.139
1488899852,1°34'11.388"W,54°46'1.698"N,10,61.2
1488899852,1°34'11.376"W,54°46'1.698"N,10,61.249
1488899852,1°34'11.37"W,54°46'1.698"N,10,61.3
1488899852,1°34'11.358"W,54°46'1.698"N,10,61.359
1488899852,1°34'11.352"W,54°46'1.698"N,10,61.41
1488899852,1°34'11.346"W,54°46'1.704"N,10,61.46
1488899852,1°34'11.346"W,54°46'1.728"N,10,62.039
1488899852,1°34'11.34"W,54°46'1.728"N,10,62.1
1488899852,1°34'11.334"W,54°46'1.728"N,10,62.149
1488899853,1°34'11.328"W,54°46'1.728"N,10,62.21
1488899853,1°34'11.316"W,54°46'1.722"N,10,62.26
1488899853,1°34'11.31"W,54°46'1.722"N,10,62.319
1488899853,1°34'11.298"W,54°46'1.722"N,11,62.37
1488899853,1°34'11.286"W,54°46'1.728"N,11,62.429
1488899853,1°34'11.286"W,54°46'1.728"N,11,62.429
1488899853,1°34'11.28"W,54°46'1.728"N,11,62.48
1488899853,1°34'11.274"W,54°46'1.728"N,11,62.539
1488899853,1°34'11.292"W,54°46'1.734"N,11,61.92
1488899853,1°34'11.292"W,54°46'1.734"N,11,61.969
1488899853,1°34'11.28"W,54°46'1.734"N,10,62.03
1488899854,1°34'11.274"W,54°46'1.734"N,10,62.079
1488899854,1°34'11.268"W,54°46'1.734"N,10,62.139
1488899854,1°34'11.256"W,54°46'1.734"N,10,62.19
1488899854,1°34'11.244"W,54°46'1.734"N,10,62.24
1488899854,1°34'11.238"W,54°46'1.74"N,10,62.3
1488899854,1°34'11.226"W,54°46'1.74"N,10,62.35
1488899854,1°34'11.22"W,54°46'1.74"N,10,62.41
1488899854,1°34'11.22"W,54°46'1.74"N,10,62.26
1488899854,1°34'11.208"W,54°46'1.74"N,10,62.319
1488899854,1°34'11.196"W,54°46'1.746"N,10,62.37
1488899855,1°34'11.19"W,54°46'1.746"N,10,62.429
1488899855,1°34'11.178"W,54°46'1.746"N,10,62.48
1488899855,1°34'11.172"W,54°46'1.746"N,10,62.53
1488899855,1°34'11.172"W,54°46'1.746"N,10,62.53
1488899855,1°34'11.16"W,54°46'1.746"N,10,62.579
1488899855,1°34'11.148"W,54°46'1.746"N,10,62.639
1488899855,1°34'11.142"W,54°46'1.746"N,10,62.69
1488899855,1°34'11.136"W,54°46'1.752"N,10,62.74
1488899855,1°34'11.136"W,54°46'1.746"N,10,62.499
1488899855,1°34'11.13"W,54°46'1.752"N,10,62.56
1488899855,1°34'11.118"W,54°46'1.752"N,10,62.609
1488899856,1°34'11.112"W,54°46'1.752"N,10,62.66
1488899856,1°34'11.1"W,54°46'1.752"N,10,62.719
1488899856,1°34'11.088"W,54°46'1.746"N,10,62.77
1488899856,1°34'11.082"W,54°46'1.746"N,10,62.819
1488899856,1°34'11.07"W,54°46'1.74"N,10,62.88
1488899856,1°34'11.064"W,54°46'1.74"N,10,62.94
1488899856,1°34'11.058"W,54°46'1.74"N,10,62.999
1488899856,1°34'11.07"W,54°46'1.74"N,11,62.6
1488899856,1°34'11.064"W,54°46'1.74"N,11,62.66
1488899856,1°34'11.058"W,54°46'1.74"N,10,62.71
1488899857,1°34'11.058"W,54°46'1.74"N,10,62.71
1488899857,1°34'11.04"W,54°46'1.746"N,10,62.829
1488899857,1°34'11.034"W,54°46'1.746"N,10,62.889
1488899857,1°34'11.022"W,54°46'1.746"N,10,62.94
1488899857,1°34'11.022"W,54°46'1.746"N,10,62.94
1488899857,1°34'11.016"W,54°46'1.746"N,10,62.999
1488899857,1°34'11.01"W,54°46'1.746"N,10,63.06
1488899857,1°34'11.004"W,54°46'1.746"N,10,63.109
1488899857,1°34'11.01"W,54°46'1.752"N,10,62.829
1488899857,1°34'11.004"W,54°46'1.752"N,10,62.88
